Fear words,Happy words,Sad words,Anger words,Negative words,Pos
,wind_up,press_down,roiled,,
,woozy,prime,roll,,
,worked_up,prostrate,roughshod,,
,zippy,pull_away,sarcastic,,
,,pull_back,savage,,
,,pull_down,scandalise,,
,,pull_in_one's_horns,scandalize,,
,,purposeless,scornful,,
,,push_down,scotch,,
,,quarantined,scrapper,,
,,rag,scratchy,,
,,ravage,sealed,,
,,raw,seethe,,
,,recall,seething,,
,,recede,self-important,,
,,recluse,separated,,
,,reclusive,set-apart,,
,,refine,shock,,
,,reflective,shocked,,
,,regretful,sick,,
,,regular,sick_of,,
,,remove,sicken,,
,,retire,sinister,,
,,retreat,so-so,,
,,rile,sore,,
,,riled,span,,
,,roiled,spite,,
,,ruminative,spiteful,,
,,run_aground,spoil,,
,,run_out,spout,,
,,sad,stale,,
,,sadness,stand_up,,
,,saturnine,steamed,,
,,savorless,stir_up,,
,,savourless,strong-growing,,
,,scattered,stung,,
,,scourge,sulfurous,,
,,scummy,sulphurous,,
,,scurvy,sure,,
,,seclude,sweep,,
,,self-destructive,tearing,,
,,senseless,techy,,
,,separated,tempestuous,,
,,sequester,tender,,
,,sequestrate,testy,,
,,set-apart,tetchy,,
,,set_apart,threaten,,
,,shell,threatening,,
,,shoot_down,thurify,,
,,slimy,thwart,,
,,slump,thwarted,,
,,small,thwartwise,,
,,smash,tippy,,
,,so-so,tire,,
,,somber,tired_of,,
,,sombre,torment,,
,,sorrow,track,,
,,sorrowful,transgress,,
,,sorrowfulness,transversal,,
,,sorrowing,transverse,,
,,sorry,traverse,,
,,sour,trigger-happy,,
,,split,umbrageous,,
,,squash,unaffectionate,,
,,squeeze,unbalanced,,
,,squelch,unbiased,,
,,stabilise,unbiassed,,
,,stabilize,uncaring,,
,,staccato,uncongenial,,
,,stark,unfriendly,,
,,steadfast,unhinged,,
,,steadily,uninvolved,,
,,steady,unrestrained,,
,,steamed,uprise,,
,,stiff,vehement,,
,,straight,vengeful,,
,,strand,venomous,,
,,stranded,vex,,
,,stray,vexed,,
,,stung,vicious,,
,,suicidal,vindictive,,
,,sulky,violate,,
,,sullen,violent,,
,,superfluous,virulent,,
,,suppress,vital,,
,,swallow,vitriolic,,
,,sweetheart,wake,,
,,sweetie,war-ridden,,
,,take,warring,,
,,take_away,white,,
,,take_back,wild,,
,,take_out,world-weary,,
,,tearaway,worsen,,
,,tormented,wound,,
,,tortured,anger,,
,,toss_off,dead,,
,,trouble,,,
,,trounce,,,
,,truelove,,,
,,two-dimensional,,,
,,ugly,,,
,,unbeloved,,,
,,unbendable,,,
,,unbiased,,,
,,unbiassed,,,
,,unconditional,,,
,,unconnected,,,
,,unconsolable,,,
,,undercoat,,,
,,unenrgetic,,,
,,unfaltering,,,
,,unfluctuating,,,
,,unhappiness,,,
,,unhinge,,,
,,unhumorous,,,
,,unplug,,,
,,unprompted,,,
,,unsay,,,
,,unshakable,,,
,,unwavering,,,
,,unworthy,,,
,,vanquish,,,
,,vapid,,,
,,vex,,,
,,vile,,,
,,warn,,,
,,waste,,,
,,wasted,,,
,,weepy,,,
,,whimsical,,,
,,wistful,,,
,,withdraw,,,
,,withdrawn,,,
,,worthless,,,
,,wretched,,,
